cardholder_id,Recency,Frequency,Monetary
0_1,29,1,990.0
1_1,44,1,2840.0
2_1,45,1,760.0
3_1,37,1,670.0
4_1,35,1,200.0
5_1,33,1,1060.0
6_1,39,1,2300.0
7_1,34,3,2580.0
8_1,36,3,3040.0
9_1,32,1,1290.0
10_1,39,2,940.0
11_1,33,2,770.0
12_1,39,2,1090.0
13_1,45,1,979.0
14_1,42,1,280.0
15_1,36,1,800.0
16_1,30,1,900.0
17_1,32,2,1190.0
18_1,34,2,520.0
19_1,38,1,2742.0
20_1,31,1,2340.0
21_1,45,1,1050.0
22_1,41,1,2130.0
23_1,34,1,450.0
24_1,48,1,580.0
25_1,44,1,2430.0
26_1,38,2,1320.0
27_1,43,1,100.0
28_1,47,1,970.0
29_1,43,3,1770.0
30_1,43,1,940.0
31_1,33,1,940.0
32_1,28,1,781.0
33_1,33,1,1260.0
34_1,47,2,1680.0
35_1,30,1,1436.0
36_1,40,1,420.0
37_1,46,1,270.0
38_1,40,1,170.0
39_1,43,2,2380.0
40_1,38,2,2500.0
41_1,45,1,1020.0
42_1,45,2,2280.0
43_1,35,1,600.0
44_1,43,1,270.0
45_1,30,1,1470.0
46_1,32,1,1490.0
47_1,38,1,900.0
48_1,33,1,290.0
49_1,39,1,3000.0
50_1,39,1,2310.0
51_1,44,1,777.0
52_1,44,1,409.0
53_1,46,1,840.0
54_1,32,3,3600.0
55_1,34,3,1280.0
56_1,33,1,1351.0
57_1,43,1,2540.0
58_1,40,1,840.0
59_1,30,1,1190.0
60_1,35,2,4980.0
61_1,38,2,7620.0
62_1,48,1,1160.0
63_1,43,1,630.0
64_1,29,1,516.0
65_1,35,3,3809.0
66_1,33,1,1780.0
67_1,45,1,2176.0
68_1,33,1,930.0
69_1,31,1,1730.0
70_1,38,1,1220.0
71_1,33,1,1910.0
72_1,32,1,150.0
73_1,44,1,1280.0
74_1,32,2,1640.0
75_1,43,1,1890.0
76_1,47,1,1980.0
77_1,45,1,2080.0
78_1,44,2,1850.0
79_1,36,1,880.0
80_1,42,1,820.0
81_1,39,1,470.0
82_1,38,1,714.0
83_1,30,2,400.0
84_1,43,1,500.0
85_1,47,2,5587.0
86_1,32,2,1010.0
87_1,39,1,1020.0
88_1,40,1,1120.0
89_1,45,1,820.0
